SAMPLE_ID	SAMPLE_NAME	GENE_NAME	REGULATION	Z_SCORE	ID_STUDY																																											
1337859	TCGA-06-0745-01	3-Mar	normal	-0.229	329																																											
1338022	TCGA-16-0846-01	3-Mar	normal	0.7	329																																											
1338057	TCGA-27-1832-01	3-Mar	normal	1.022	329																																											
1338067	TCGA-27-2523-01	3-Mar	normal	-1.276	329																																											
1338079	TCGA-28-1753-01	3-Mar	normal	-0.936	329																																											
1910168	TCGA-06-0125-01	3-Mar	normal	-0.633	329																																											
1910206	TCGA-06-0211-01	3-Mar	normal	-0.02	329																																											
2120252	TCGA-06-0190-02	3-Mar	normal	-1.034	329																																											
2120253	TCGA-06-0210-02	3-Mar	normal	0.69	329																																											
2120346	TCGA-32-1980-01	3-Mar	normal	-0.699	329																																											
2178065	TCGA-06-0152-02	3-Mar	normal	-0.302	329																																											
1337858	TCGA-06-0744-01	A4GALT	normal	0.162	329																																											
1338022	TCGA-16-0846-01	A4GALT	over	2.039	329																																											
1338057	TCGA-27-1832-01	A4GALT	over	3.091	329																																											
1338067	TCGA-27-2523-01	A4GALT	normal	-1.158	329																																											
1338079	TCGA-28-1753-01	A4GALT	normal	-0.203	329																																											
1910168	TCGA-06-0125-01	A4GALT	normal	0.051	329																																											
1910184	TCGA-06-0157-01	A4GALT	normal	-0.159	329																																											
1910190	TCGA-06-0174-01	A4GALT	normal	-0.448	329																																											
1910206	TCGA-06-0211-01	A4GALT	normal	-0.253	329																																											
1910247	TCGA-12-0618-01	A4GALT	normal	-0.876	329																																											
2120252	TCGA-06-0190-02	A4GALT	over	13.602	329																																											
2120253	TCGA-06-0210-02	A4GALT	normal	-0.186	329																																											
2120378	TCGA-76-4926-01	A4GALT	normal	-0.936	329																																											
2178065	TCGA-06-0152-02	A4GALT	normal	-0.397	329																																											
1337858	TCGA-06-0744-01	AACS	normal	0.031	329																																											
1337859	TCGA-06-0745-01	AACS	normal	0.138	329																																											
1338022	TCGA-16-0846-01	AACS	normal	0.19	329																																											
1338057	TCGA-27-1832-01	AACS	normal	0.209	329																																											
1338067	TCGA-27-2523-01	AACS	normal	-0.034	329																																											
1910168	TCGA-06-0125-01	AACS	normal	-0.12	329																																											
1910184	TCGA-06-0157-01	AACS	normal	-0.539	329																																											
1910190	TCGA-06-0174-01	AACS	normal	0.691	329																																											
1910206	TCGA-06-0211-01	AACS	normal	-0.765	329																																											
1910247	TCGA-12-0618-01	AACS	normal	1.374	329																																											
2120252	TCGA-06-0190-02	AACS	normal	0.087	329																																											
2120253	TCGA-06-0210-02	AACS	normal	-0.737	329																																											
2120305	TCGA-19-2624-01	AACS	normal	-0.023	329																																											
2120346	TCGA-32-1980-01	AACS	over	3.011	329																																											
2120378	TCGA-76-4926-01	AACS	normal	-0.778	329																																											
2178065	TCGA-06-0152-02	AACS	normal	0.517	329																																											
1337858	TCGA-06-0744-01	AADACL4	normal	-0.114	329																																											
1337859	TCGA-06-0745-01	AADACL4	normal	-0.114	329																																											
1338022	TCGA-16-0846-01	AADACL4	normal	-0.114	329																																											
1338057	TCGA-27-1832-01	AADACL4	over	8.461	329																																											
